Adjusted for Inflation Flag,Format,Format (copy),Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (Actual) (copy),Year (copy)
,CD Single,CD Single,Units,2015,2015,,$0.4M,1,0.386721563,$0M,2015
,CD Single,CD Single,Units,2016,2016,,$0.1M,1,0.121745255,$0M,2016
,CD Single,CD Single,Units,2017,2017,,$0.1M,1,0.13261663,$0M,2017
,CD Single,CD Single,Units,2018,2018,,$0.00,1,0.020854078,$0M,2018
,CD Single,CD Single,Units,2019,2019,,$0.00,1,0.026257455,$0M,2019
,Cassette,Cassette,Units,1973,1973,,$15.0M,1,15,$15M,1973
,Cassette,Cassette,Units,1974,1974,,$15.3M,1,15.3,$15M,1974
,Cassette,Cassette,Units,1975,1975,,$16.2M,1,16.2,$16M,1975
,Cassette,Cassette,Units,1976,1976,,$21.8M,1,21.8,$22M,1976
,Cassette,Cassette,Units,1977,1977,,$36.9M,1,36.9,$37M,1977
,Cassette,Cassette,Units,1978,1978,,$61.3M,1,61.3,$61M,1978
,Cassette,Cassette,Units,1979,1979,,$78.5M,1,78.5,$79M,1979
,Cassette,Cassette,Units,1980,1980,,$99.0M,1,99,$99M,1980
,Cassette,Cassette,Units,1981,1981,,$124.0M,1,124,$124M,1981
,Cassette,Cassette,Units,1982,1982,,$183.2M,1,183.2,$183M,1982
,Cassette,Cassette,Units,1983,1983,,$236.8M,1,236.8,$237M,1983
,Cassette,Cassette,Units,1984,1984,,$332.0M,1,332,$332M,1984
,Cassette,Cassette,Units,1985,1985,,$339.1M,1,339.1,$339M,1985
,Cassette,Cassette,Units,1986,1986,,$344.5M,1,344.5,$345M,1986
,Cassette,Cassette,Units,1987,1987,,$410.0M,1,410,$410M,1987
,Cassette,Cassette,Units,1988,1988,,$450.1M,1,450.1,$450M,1988
,Cassette,Cassette,Units,1989,1989,,$446.2M,1,446.2,$446M,1989
,Cassette,Cassette,Units,1990,1990,,$442.2M,1,442.2,$442M,1990
,Cassette,Cassette,Units,1991,1991,,$360.1M,1,360.1,$360M,1991
,Cassette,Cassette,Units,1992,1992,,$366.4M,1,366.4,$366M,1992
,Cassette,Cassette,Units,1993,1993,,$339.5M,1,339.5,$340M,1993
,Cassette,Cassette,Units,1994,1994,,$345.4M,1,345.4,$345M,1994
,Cassette,Cassette,Units,1995,1995,,$272.6M,1,272.6,$273M,1995
,Cassette,Cassette,Units,1996,1996,,$225.3M,1,225.3,$225M,1996
,Cassette,Cassette,Units,1997,1997,,$172.6M,1,172.6,$173M,1997
,Cassette,Cassette,Units,1998,1998,,$158.5M,1,158.5,$159M,1998
,Cassette,Cassette,Units,1999,1999,,$123.6M,1,123.6,$124M,1999
,Cassette,Cassette,Units,2000,2000,,$76.0M,1,76,$76M,2000
,Cassette,Cassette,Units,2001,2001,,$45.0M,1,45,$45M,2001
,Cassette,Cassette,Units,2002,2002,,$31.1M,1,31.1,$31M,2002
,Cassette,Cassette,Units,2003,2003,,$17.2M,1,17.2,$17M,2003
,Cassette,Cassette,Units,2004,2004,,$5.2M,1,5.2,$5M,2004
,Cassette,Cassette,Units,2005,2005,,$2.5M,1,2.5,$3M,2005
,Cassette,Cassette,Units,2006,2006,,$0.7M,1,0.7,$1M,2006
,Cassette,Cassette,Units,2007,2007,,$0.4M,1,0.4,$0M,2007
,Cassette,Cassette,Units,2008,2008,,$0.1M,1,0.1,$0M,2008
,Cassette,Cassette,Units,2009,2009,,$0.00,1,0,$0M,2009
,Cassette,Cassette,Units,2010,2010,,$0.00,1,0,$0M,2010
,Cassette,Cassette,Units,2011,2011,,$0.00,1,0,$0M,2011
,Cassette,Cassette,Units,2012,2012,,,1,,,2012
,Cassette,Cassette,Units,2013,2013,,,1,,,2013
,Cassette,Cassette,Units,2014,2014,,,1,,,2014
,Cassette,Cassette,Units,2015,2015,,,1,,,2015
,Cassette,Cassette,Units,2016,2016,,,1,,,2016
,Cassette,Cassette,Units,2017,2017,,,1,,,2017
,Cassette,Cassette,Units,2018,2018,,,1,,,2018
,Cassette,Cassette,Units,2019,2019,,,1,,,2019
,Cassette Single,Cassette Single,Units,1973,1973,,,1,,,1973
,Cassette Single,Cassette Single,Units,1974,1974,,,1,,,1974
,Cassette Single,Cassette Single,Units,1975,1975,,,1,,,1975
,Cassette Single,Cassette Single,Units,1976,1976,,,1,,,1976
,Cassette Single,Cassette Single,Units,1977,1977,,,1,,,1977
,Cassette Single,Cassette Single,Units,1978,1978,,,1,,,1978
,Cassette Single,Cassette Single,Units,1979,1979,,,1,,,1979
,Cassette Single,Cassette Single,Units,1980,1980,,,1,,,1980
,Cassette Single,Cassette Single,Units,1981,1981,,,1,,,1981
,Cassette Single,Cassette Single,Units,1982,1982,,,1,,,1982
,Cassette Single,Cassette Single,Units,1983,1983,,,1,,,1983
,Cassette Single,Cassette Single,Units,1984,1984,,,1,,,1984
,Cassette Single,Cassette Single,Units,1985,1985,,,1,,,1985
,Cassette Single,Cassette Single,Units,1986,1986,,,1,,,1986
,Cassette Single,Cassette Single,Units,1987,1987,,$5.1M,1,5.1,$5M,1987
,Cassette Single,Cassette Single,Units,1988,1988,,$22.5M,1,22.5,$23M,1988
,Cassette Single,Cassette Single,Units,1989,1989,,$76.2M,1,76.2,$76M,1989
,Cassette Single,Cassette Single,Units,1990,1990,,$87.4M,1,87.4,$87M,1990
,Cassette Single,Cassette Single,Units,1991,1991,,$69.0M,1,69,$69M,1991
,Cassette Single,Cassette Single,Units,1992,1992,,$84.6M,1,84.6,$85M,1992
,Cassette Single,Cassette Single,Units,1993,1993,,$85.6M,1,85.6,$86M,1993
,Cassette Single,Cassette Single,Units,1994,1994,,$81.1M,1,81.1,$81M,1994
,Cassette Single,Cassette Single,Units,1995,1995,,$70.7M,1,70.7,$71M,1995
,Cassette Single,Cassette Single,Units,1996,1996,,$59.9M,1,59.9,$60M,1996
,Cassette Single,Cassette Single,Units,1997,1997,,$42.2M,1,42.2,$42M,1997
,Cassette Single,Cassette Single,Units,1998,1998,,$26.4M,1,26.4,$26M,1998
,Cassette Single,Cassette Single,Units,1999,1999,,$14.2M,1,14.2,$14M,1999
,Cassette Single,Cassette Single,Units,2000,2000,,$1.3M,1,1.3,$1M,2000
,Cassette Single,Cassette Single,Units,2001,2001,,-$1.5M,1,-1.5,($2M),2001
,Cassette Single,Cassette Single,Units,2002,2002,,-$0.5M,1,-0.5,($1M),2002
,Cassette Single,Cassette Single,Units,2003,2003,,$0.00,1,0,$0M,2003
,Cassette Single,Cassette Single,Units,2004,2004,,$0.00,1,0,$0M,2004
,Cassette Single,Cassette Single,Units,2005,2005,,$0.00,1,0,$0M,2005
,Cassette Single,Cassette Single,Units,2006,2006,,$0.00,1,0,$0M,2006
,Cassette Single,Cassette Single,Units,2007,2007,,$0.00,1,0,$0M,2007
,Cassette Single,Cassette Single,Units,2008,2008,,$0.00,1,0,$0M,2008
,Cassette Single,Cassette Single,Units,2009,2009,,$0.00,1,0,$0M,2009
,Cassette Single,Cassette Single,Units,2010,2010,,$0.00,1,0,$0M,2010
,Cassette Single,Cassette Single,Units,2011,2011,,$0.00,1,0,$0M,2011
,Cassette Single,Cassette Single,Units,2012,2012,,,1,,,2012
,Cassette Single,Cassette Single,Units,2013,2013,,,1,,,2013
,Cassette Single,Cassette Single,Units,2014,2014,,,1,,,2014
,Cassette Single,Cassette Single,Units,2015,2015,,,1,,,2015
,Cassette Single,Cassette Single,Units,2016,2016,,,1,,,2016
,Cassette Single,Cassette Single,Units,2017,2017,,,1,,,2017
,Cassette Single,Cassette Single,Units,2018,2018,,,1,,,2018
,Cassette Single,Cassette Single,Units,2019,2019,,,1,,,2019
,LP/EP,LP/EP,Units,1973,1973,,$280.0M,1,280,$280M,1973
,LP/EP,LP/EP,Units,1974,1974,,$276.0M,1,276,$276M,1974
,LP/EP,LP/EP,Units,1975,1975,,$257.0M,1,257,$257M,1975
,LP/EP,LP/EP,Units,1976,1976,,$273.0M,1,273,$273M,1976
,LP/EP,LP/EP,Units,1977,1977,,$344.0M,1,344,$344M,1977
,LP/EP,LP/EP,Units,1978,1978,,$341.3M,1,341.3,$341M,1978
,LP/EP,LP/EP,Units,1979,1979,,$290.0M,1,290,$290M,1979
,LP/EP,LP/EP,Units,1980,1980,,$308.0M,1,308,$308M,1980
,LP/EP,LP/EP,Units,1981,1981,,$295.2M,1,295.2,$295M,1981
,LP/EP,LP/EP,Units,1982,1982,,$243.9M,1,243.9,$244M,1982
,LP/EP,LP/EP,Units,1983,1983,,$209.6M,1,209.6,$210M,1983
,LP/EP,LP/EP,Units,1984,1984,,$204.6M,1,204.6,$205M,1984
,LP/EP,LP/EP,Units,1985,1985,,$167.0M,1,167,$167M,1985
,LP/EP,LP/EP,Units,1986,1986,,$125.2M,1,125.2,$125M,1986
,LP/EP,LP/EP,Units,1987,1987,,$107.0M,1,107,$107M,1987
,LP/EP,LP/EP,Units,1988,1988,,$72.4M,1,72.4,$72M,1988
,LP/EP,LP/EP,Units,1989,1989,,$34.6M,1,34.6,$35M,1989
,LP/EP,LP/EP,Units,1990,1990,,$11.7M,1,11.7,$12M,1990
,LP/EP,LP/EP,Units,1991,1991,,$4.8M,1,4.8,$5M,1991
,LP/EP,LP/EP,Units,1992,1992,,$2.3M,1,2.3,$2M,1992
,LP/EP,LP/EP,Units,1993,1993,,$1.2M,1,1.2,$1M,1993
,LP/EP,LP/EP,Units,1994,1994,,$1.9M,1,1.9,$2M,1994
,LP/EP,LP/EP,Units,1995,1995,,$2.2M,1,2.2,$2M,1995
,LP/EP,LP/EP,Units,1996,1996,,$2.9M,1,2.9,$3M,1996
,LP/EP,LP/EP,Units,1997,1997,,$2.7M,1,2.7,$3M,1997
,LP/EP,LP/EP,Units,1998,1998,,$3.4M,1,3.4,$3M,1998
,LP/EP,LP/EP,Units,1999,1999,,$2.9M,1,2.9,$3M,1999
,LP/EP,LP/EP,Units,2000,2000,,$2.2M,1,2.2,$2M,2000
,LP/EP,LP/EP,Units,2001,2001,,$2.3M,1,2.3,$2M,2001
,LP/EP,LP/EP,Units,2002,2002,,$1.7M,1,1.743,$2M,2002
,LP/EP,LP/EP,Units,2003,2003,,$1.5M,1,1.5,$2M,2003
,LP/EP,LP/EP,Units,2004,2004,,$1.4M,1,1.4,$1M,2004
,LP/EP,LP/EP,Units,2005,2005,,$1.0M,1,1,$1M,2005
,LP/EP,LP/EP,Units,2006,2006,,$0.9M,1,0.9,$1M,2006
,LP/EP,LP/EP,Units,2007,2007,,$1.3M,1,1.3,$1M,2007
,LP/EP,LP/EP,Units,2008,2008,,$2.9M,1,2.9,$3M,2008
,LP/EP,LP/EP,Units,2009,2009,,$3.5M,1,3.5,$4M,2009
,LP/EP,LP/EP,Units,2010,2010,,$4.2M,1,4.2,$4M,2010
,LP/EP,LP/EP,Units,2011,2011,,$5.5M,1,5.5,$6M,2011
,LP/EP,LP/EP,Units,2012,2012,,$6.9M,1,6.915365189,$7M,2012
,LP/EP,LP/EP,Units,2013,2013,,$9.4M,1,9.35128587,$9M,2013
,LP/EP,LP/EP,Units,2014,2014,,$10.3M,1,10.315563906,$10M,2014
,LP/EP,LP/EP,Units,2015,2015,,$13.7M,1,13.68102972,$14M,2015
,LP/EP,LP/EP,Units,2016,2016,,$14.8M,1,14.770886026,$15M,2016
,LP/EP,LP/EP,Units,2017,2017,,$15.6M,1,15.556089168,$16M,2017
,LP/EP,LP/EP,Units,2018,2018,,$16.7M,1,16.670127326,$17M,2018
,LP/EP,LP/EP,Units,2019,2019,,$19.1M,1,19.103162826,$19M,2019
,Vinyl Single,Vinyl Single,Units,1973,1973,,$228.0M,1,228,$228M,1973
,Vinyl Single,Vinyl Single,Units,1974,1974,,$204.0M,1,204,$204M,1974
,Vinyl Single,Vinyl Single,Units,1975,1975,,$164.0M,1,164,$164M,1975
,Vinyl Single,Vinyl Single,Units,1976,1976,,$190.0M,1,190,$190M,1976
,Vinyl Single,Vinyl Single,Units,1977,1977,,$190.0M,1,190,$190M,1977
,Vinyl Single,Vinyl Single,Units,1978,1978,,$190.0M,1,190,$190M,1978
,Vinyl Single,Vinyl Single,Units,1979,1979,,$212.0M,1,212,$212M,1979
,Vinyl Single,Vinyl Single,Units,1980,1980,,$157.0M,1,157,$157M,1980
,Vinyl Single,Vinyl Single,Units,1981,1981,,$154.7M,1,154.7,$155M,1981
,Vinyl Single,Vinyl Single,Units,1982,1982,,$137.2M,1,137.2,$137M,1982
,Vinyl Single,Vinyl Single,Units,1983,1983,,$124.8M,1,124.8,$125M,1983
,Vinyl Single,Vinyl Single,Units,1984,1984,,$131.5M,1,131.5,$132M,1984
,Vinyl Single,Vinyl Single,Units,1985,1985,,$120.7M,1,120.7,$121M,1985
,Vinyl Single,Vinyl Single,Units,1986,1986,,$93.9M,1,93.9,$94M,1986
,Vinyl Single,Vinyl Single,Units,1987,1987,,$82.0M,1,82,$82M,1987
,Vinyl Single,Vinyl Single,Units,1988,1988,,$65.6M,1,65.6,$66M,1988
,Vinyl Single,Vinyl Single,Units,1989,1989,,$36.6M,1,36.6,$37M,1989
,Vinyl Single,Vinyl Single,Units,1990,1990,,$27.6M,1,27.6,$28M,1990
,Vinyl Single,Vinyl Single,Units,1991,1991,,$22.0M,1,22,$22M,1991
,Vinyl Single,Vinyl Single,Units,1992,1992,,$19.8M,1,19.8,$20M,1992
,Vinyl Single,Vinyl Single,Units,1993,1993,,$15.1M,1,15.1,$15M,1993
,Vinyl Single,Vinyl Single,Units,1994,1994,,$11.7M,1,11.7,$12M,1994
,Vinyl Single,Vinyl Single,Units,1995,1995,,$10.2M,1,10.2,$10M,1995
,Vinyl Single,Vinyl Single,Units,1996,1996,,$10.1M,1,10.1,$10M,1996
,Vinyl Single,Vinyl Single,Units,1997,1997,,$7.5M,1,7.5,$8M,1997
,Vinyl Single,Vinyl Single,Units,1998,1998,,$5.4M,1,5.4,$5M,1998
