Adjusted for Inflation Flag,Format,Format (copy),Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (Actual) (copy),Year (copy)
,Cassette,Cassette,Value,1978,1978,,$449.8M,1,449.8,$450M,1978
,Cassette,Cassette,Value,1979,1979,,$580.6M,1,580.6,$581M,1979
,Cassette,Cassette,Value,1980,1980,,$705.0M,1,705,$705M,1980
,Cassette,Cassette,Value,1981,1981,$1.1B,,1,1062.8,"$1,063M",1981
,Cassette,Cassette,Value,1982,1982,$1.4B,,1,1384.5,"$1,385M",1982
,Cassette,Cassette,Value,1983,1983,$1.8B,,1,1810.9,"$1,811M",1983
,Cassette,Cassette,Value,1984,1984,$2.4B,,1,2383.9,"$2,384M",1984
,Cassette,Cassette,Value,1985,1985,$2.4B,,1,2411.5,"$2,412M",1985
,Cassette,Cassette,Value,1986,1986,$2.5B,,1,2499.5,"$2,500M",1986
,Cassette,Cassette,Value,1987,1987,$3.0B,,1,2959.7,"$2,960M",1987
,Cassette,Cassette,Value,1988,1988,$3.4B,,1,3385.1,"$3,385M",1988
,Cassette,Cassette,Value,1989,1989,$3.3B,,1,3345.8,"$3,346M",1989
,Cassette,Cassette,Value,1990,1990,$3.5B,,1,3472.4,"$3,472M",1990
,Cassette,Cassette,Value,1991,1991,$3.0B,,1,3019.6,"$3,020M",1991
,Cassette,Cassette,Value,1992,1992,$3.1B,,1,3116.3,"$3,116M",1992
,Cassette,Cassette,Value,1993,1993,$2.9B,,1,2915.8,"$2,916M",1993
,Cassette,Cassette,Value,1994,1994,$3.0B,,1,2976.4,"$2,976M",1994
,Cassette,Cassette,Value,1995,1995,$2.3B,,1,2303.6,"$2,304M",1995
,Cassette,Cassette,Value,1996,1996,$1.9B,,1,1905.3,"$1,905M",1996
,Cassette,Cassette,Value,1997,1997,$1.5B,,1,1522.7,"$1,523M",1997
,Cassette,Cassette,Value,1998,1998,$1.4B,,1,1419.9,"$1,420M",1998
,Cassette,Cassette,Value,1999,1999,$1.1B,,1,1061.6,"$1,062M",1999
,Cassette,Cassette,Value,2000,2000,,$626.0M,1,626,$626M,2000
,Cassette,Cassette,Value,2001,2001,,$363.4M,1,363.4,$363M,2001
,Cassette,Cassette,Value,2002,2002,,$209.8M,1,209.8,$210M,2002
,Cassette,Cassette,Value,2003,2003,,$108.1M,1,108.1,$108M,2003
,Cassette,Cassette,Value,2004,2004,,$23.7M,1,23.7,$24M,2004
,Cassette,Cassette,Value,2005,2005,,$13.1M,1,13.1,$13M,2005
,Cassette,Cassette,Value,2006,2006,,$3.7M,1,3.7,$4M,2006
,Cassette,Cassette,Value,2007,2007,,$3.0M,1,3,$3M,2007
,Cassette,Cassette,Value,2008,2008,,$0.9M,1,0.9,$1M,2008
,Cassette,Cassette,Value,2009,2009,,$0.00,1,0,$0M,2009
,Cassette,Cassette,Value,2010,2010,,,1,,,2010
,Cassette,Cassette,Value,2011,2011,,,1,,,2011
,Cassette,Cassette,Value,2012,2012,,,1,,,2012
,Cassette,Cassette,Value,2013,2013,,,1,,,2013
,Cassette,Cassette,Value,2014,2014,,,1,,,2014
,Cassette,Cassette,Value,2015,2015,,,1,,,2015
,Cassette,Cassette,Value,2016,2016,,,1,,,2016
,Cassette,Cassette,Value,2017,2017,,,1,,,2017
,Cassette,Cassette,Value,2018,2018,,,1,,,2018
,Cassette,Cassette,Value,2019,2019,,,1,,,2019
,Cassette Single,Cassette Single,Value,1973,1973,,,1,,,1973
,Cassette Single,Cassette Single,Value,1974,1974,,,1,,,1974
,Cassette Single,Cassette Single,Value,1975,1975,,,1,,,1975
,Cassette Single,Cassette Single,Value,1976,1976,,,1,,,1976
,Cassette Single,Cassette Single,Value,1977,1977,,,1,,,1977
,Cassette Single,Cassette Single,Value,1978,1978,,,1,,,1978
,Cassette Single,Cassette Single,Value,1979,1979,,,1,,,1979
,Cassette Single,Cassette Single,Value,1980,1980,,,1,,,1980
,Cassette Single,Cassette Single,Value,1981,1981,,,1,,,1981
,Cassette Single,Cassette Single,Value,1982,1982,,,1,,,1982
,Cassette Single,Cassette Single,Value,1983,1983,,,1,,,1983
,Cassette Single,Cassette Single,Value,1984,1984,,,1,,,1984
,Cassette Single,Cassette Single,Value,1985,1985,,,1,,,1985
,Cassette Single,Cassette Single,Value,1986,1986,,,1,,,1986
,Cassette Single,Cassette Single,Value,1987,1987,,$14.3M,1,14.3,$14M,1987
,Cassette Single,Cassette Single,Value,1988,1988,,$57.3M,1,57.3,$57M,1988
,Cassette Single,Cassette Single,Value,1989,1989,,$194.6M,1,194.6,$195M,1989
,Cassette Single,Cassette Single,Value,1990,1990,,$257.9M,1,257.9,$258M,1990
,Cassette Single,Cassette Single,Value,1991,1991,,$230.4M,1,230.4,$230M,1991
,Cassette Single,Cassette Single,Value,1992,1992,,$298.8M,1,298.8,$299M,1992
,Cassette Single,Cassette Single,Value,1993,1993,,$298.5M,1,298.5,$299M,1993
,Cassette Single,Cassette Single,Value,1994,1994,,$274.9M,1,274.9,$275M,1994
,Cassette Single,Cassette Single,Value,1995,1995,,$236.3M,1,236.3,$236M,1995
,Cassette Single,Cassette Single,Value,1996,1996,,$189.3M,1,189.3,$189M,1996
,Cassette Single,Cassette Single,Value,1997,1997,,$133.5M,1,133.5,$134M,1997
,Cassette Single,Cassette Single,Value,1998,1998,,$94.4M,1,94.4,$94M,1998
,Cassette Single,Cassette Single,Value,1999,1999,,$48.0M,1,48,$48M,1999
,Cassette Single,Cassette Single,Value,2000,2000,,$4.6M,1,4.6,$5M,2000
,Cassette Single,Cassette Single,Value,2001,2001,,-$5.3M,1,-5.3,($5M),2001
,Cassette Single,Cassette Single,Value,2002,2002,,-$1.6M,1,-1.6,($2M),2002
,Cassette Single,Cassette Single,Value,2003,2003,,,1,,,2003
,Cassette Single,Cassette Single,Value,2004,2004,,,1,,,2004
,Cassette Single,Cassette Single,Value,2005,2005,,,1,,,2005
,Cassette Single,Cassette Single,Value,2006,2006,,,1,,,2006
,Cassette Single,Cassette Single,Value,2007,2007,,,1,,,2007
,Cassette Single,Cassette Single,Value,2008,2008,,,1,,,2008
,Cassette Single,Cassette Single,Value,2009,2009,,,1,,,2009
,Cassette Single,Cassette Single,Value,2010,2010,,,1,,,2010
,Cassette Single,Cassette Single,Value,2011,2011,,,1,,,2011
,Cassette Single,Cassette Single,Value,2012,2012,,,1,,,2012
,Cassette Single,Cassette Single,Value,2013,2013,,,1,,,2013
,Cassette Single,Cassette Single,Value,2014,2014,,,1,,,2014
,Cassette Single,Cassette Single,Value,2015,2015,,,1,,,2015
,Cassette Single,Cassette Single,Value,2016,2016,,,1,,,2016
,Cassette Single,Cassette Single,Value,2017,2017,,,1,,,2017
,Cassette Single,Cassette Single,Value,2018,2018,,,1,,,2018
,Cassette Single,Cassette Single,Value,2019,2019,,,1,,,2019
,LP/EP,LP/EP,Value,1973,1973,$1.2B,,1,1246,"$1,246M",1973
,LP/EP,LP/EP,Value,1974,1974,$1.4B,,1,1356,"$1,356M",1974
,LP/EP,LP/EP,Value,1975,1975,$1.5B,,1,1485,"$1,485M",1975
,LP/EP,LP/EP,Value,1976,1976,$1.7B,,1,1663,"$1,663M",1976
,LP/EP,LP/EP,Value,1977,1977,$2.2B,,1,2195.1,"$2,195M",1977
,LP/EP,LP/EP,Value,1978,1978,$2.5B,,1,2473.3,"$2,473M",1978
,LP/EP,LP/EP,Value,1979,1979,$2.1B,,1,2057,"$2,057M",1979
,LP/EP,LP/EP,Value,1980,1980,$2.2B,,1,2200,"$2,200M",1980
,LP/EP,LP/EP,Value,1981,1981,$2.3B,,1,2341.7,"$2,342M",1981
,LP/EP,LP/EP,Value,1982,1982,$1.9B,,1,1925.1,"$1,925M",1982
,LP/EP,LP/EP,Value,1983,1983,$1.7B,,1,1689,"$1,689M",1983
,LP/EP,LP/EP,Value,1984,1984,$1.5B,,1,1548.8,"$1,549M",1984
,LP/EP,LP/EP,Value,1985,1985,$1.3B,,1,1280.5,"$1,281M",1985
,8 - Track,8 - Track,Value,1973,1973,,$489.0M,1,489,$489M,1973
,8 - Track,8 - Track,Value,1974,1974,,$549.2M,1,549.2,$549M,1974
,8 - Track,8 - Track,Value,1975,1975,,$583.0M,1,583,$583M,1975
,8 - Track,8 - Track,Value,1976,1976,,$678.2M,1,678.2,$678M,1976
,8 - Track,8 - Track,Value,1977,1977,,$811.0M,1,811,$811M,1977
,8 - Track,8 - Track,Value,1978,1978,,$948.0M,1,948,$948M,1978
,8 - Track,8 - Track,Value,1979,1979,,$684.3M,1,684.3,$684M,1979
,8 - Track,8 - Track,Value,1980,1980,,$527.0M,1,527,$527M,1980
,8 - Track,8 - Track,Value,1981,1981,,$313.0M,1,313,$313M,1981
,8 - Track,8 - Track,Value,1982,1982,,$36.0M,1,36,$36M,1982
,8 - Track,8 - Track,Value,1983,1983,,,1,,,1983
,8 - Track,8 - Track,Value,1984,1984,,,1,,,1984
,8 - Track,8 - Track,Value,1985,1985,,,1,,,1985
,8 - Track,8 - Track,Value,1986,1986,,,1,,,1986
,8 - Track,8 - Track,Value,1987,1987,,,1,,,1987
,8 - Track,8 - Track,Value,1988,1988,,,1,,,1988
,8 - Track,8 - Track,Value,1989,1989,,,1,,,1989
,8 - Track,8 - Track,Value,1990,1990,,,1,,,1990
,8 - Track,8 - Track,Value,1991,1991,,,1,,,1991
,8 - Track,8 - Track,Value,1992,1992,,,1,,,1992
,8 - Track,8 - Track,Value,1993,1993,,,1,,,1993
,8 - Track,8 - Track,Value,1994,1994,,,1,,,1994
,8 - Track,8 - Track,Value,1995,1995,,,1,,,1995
,8 - Track,8 - Track,Value,1996,1996,,,1,,,1996
,8 - Track,8 - Track,Value,1997,1997,,,1,,,1997
,8 - Track,8 - Track,Value,1998,1998,,,1,,,1998
,8 - Track,8 - Track,Value,1999,1999,,,1,,,1999
,8 - Track,8 - Track,Value,2000,2000,,,1,,,2000
,8 - Track,8 - Track,Value,2001,2001,,,1,,,2001
,8 - Track,8 - Track,Value,2002,2002,,,1,,,2002
,8 - Track,8 - Track,Value,2003,2003,,,1,,,2003
,8 - Track,8 - Track,Value,2004,2004,,,1,,,2004
,8 - Track,8 - Track,Value,2005,2005,,,1,,,2005
,8 - Track,8 - Track,Value,2006,2006,,,1,,,2006
,8 - Track,8 - Track,Value,2007,2007,,,1,,,2007
,8 - Track,8 - Track,Value,2008,2008,,,1,,,2008
,8 - Track,8 - Track,Value,2009,2009,,,1,,,2009
,8 - Track,8 - Track,Value,2010,2010,,,1,,,2010
,8 - Track,8 - Track,Value,2011,2011,,,1,,,2011
,8 - Track,8 - Track,Value,2012,2012,,,1,,,2012
,8 - Track,8 - Track,Value,2013,2013,,,1,,,2013
,8 - Track,8 - Track,Value,2014,2014,,,1,,,2014
,8 - Track,8 - Track,Value,2015,2015,,,1,,,2015
,8 - Track,8 - Track,Value,2016,2016,,,1,,,2016
,8 - Track,8 - Track,Value,2017,2017,,,1,,,2017
,8 - Track,8 - Track,Value,2018,2018,,,1,,,2018
,8 - Track,8 - Track,Value,2019,2019,,,1,,,2019
,DVD Audio,DVD Audio,Value,1973,1973,,,1,,,1973
,DVD Audio,DVD Audio,Value,1974,1974,,,1,,,1974
,DVD Audio,DVD Audio,Value,1975,1975,,,1,,,1975
,DVD Audio,DVD Audio,Value,1976,1976,,,1,,,1976
,DVD Audio,DVD Audio,Value,1977,1977,,,1,,,1977
,DVD Audio,DVD Audio,Value,1978,1978,,,1,,,1978
,DVD Audio,DVD Audio,Value,1979,1979,,,1,,,1979
,DVD Audio,DVD Audio,Value,1980,1980,,,1,,,1980
,DVD Audio,DVD Audio,Value,1981,1981,,,1,,,1981
,DVD Audio,DVD Audio,Value,1982,1982,,,1,,,1982
,DVD Audio,DVD Audio,Value,1983,1983,,,1,,,1983
,DVD Audio,DVD Audio,Value,1984,1984,,,1,,,1984
,DVD Audio,DVD Audio,Value,1985,1985,,,1,,,1985
,DVD Audio,DVD Audio,Value,1986,1986,,,1,,,1986
,DVD Audio,DVD Audio,Value,1987,1987,,,1,,,1987
,DVD Audio,DVD Audio,Value,1988,1988,,,1,,,1988
,DVD Audio,DVD Audio,Value,1989,1989,,,1,,,1989
,DVD Audio,DVD Audio,Value,1990,1990,,,1,,,1990
,DVD Audio,DVD Audio,Value,1991,1991,,,1,,,1991
,DVD Audio,DVD Audio,Value,1992,1992,,,1,,,1992
,DVD Audio,DVD Audio,Value,1993,1993,,,1,,,1993
,DVD Audio,DVD Audio,Value,1994,1994,,,1,,,1994
,DVD Audio,DVD Audio,Value,1995,1995,,,1,,,1995
,DVD Audio,DVD Audio,Value,1996,1996,,,1,,,1996
,DVD Audio,DVD Audio,Value,1997,1997,,,1,,,1997
,DVD Audio,DVD Audio,Value,1998,1998,,,1,,,1998
,DVD Audio,DVD Audio,Value,1999,1999,,,1,,,1999
,DVD Audio,DVD Audio,Value,2000,2000,,,1,,,2000
,DVD Audio,DVD Audio,Value,2001,2001,,$6.0M,1,6,$6M,2001
,DVD Audio,DVD Audio,Value,2002,2002,,$8.5M,1,8.5,$9M,2002
,DVD Audio,DVD Audio,Value,2003,2003,,$8.0M,1,8,$8M,2003
,DVD Audio,DVD Audio,Value,2004,2004,,$6.5M,1,6.5,$7M,2004
,DVD Audio,DVD Audio,Value,2005,2005,,$11.2M,1,11.2,$11M,2005
,DVD Audio,DVD Audio,Value,2006,2006,,$2.4M,1,2.4,$2M,2006
,DVD Audio,DVD Audio,Value,2007,2007,,$2.8M,1,2.8,$3M,2007
,DVD Audio,DVD Audio,Value,2008,2008,,$1.2M,1,1.2,$1M,2008
,DVD Audio,DVD Audio,Value,2009,2009,,$1.6M,1,1.6,$2M,2009
,DVD Audio,DVD Audio,Value,2010,2010,,$0.9M,1,0.9,$1M,2010
,DVD Audio,DVD Audio,Value,2011,2011,,$0.3M,1,0.3,$0M,2011
,DVD Audio,DVD Audio,Value,2012,2012,,$0.2M,1,0.183106992,$0M,2012
,DVD Audio,DVD Audio,Value,2013,2013,,-$0.5M,1,-0.495804191,$0M,2013
,DVD Audio,DVD Audio,Value,2014,2014,,$2.1M,1,2.139460944,$2M,2014
,DVD Audio,DVD Audio,Value,2015,2015,,$5.4M,1,5.416232673,$5M,2015
,DVD Audio,DVD Audio,Value,2016,2016,,$2.8M,1,2.83553587,$3M,2016
,DVD Audio,DVD Audio,Value,2017,2017,,$2.6M,1,2.606840648,$3M,2017
,DVD Audio,DVD Audio,Value,2018,2018,,$3.3M,1,3.317383752,$3M,2018
,DVD Audio,DVD Audio,Value,2019,2019,,$1.1M,1,1.067303184,$1M,2019
,Download Album,Download Album,Value,1973,1973,,,1,,,1973
,Download Album,Download Album,Value,1974,1974,,,1,,,1974
,Download Album,Download Album,Value,1975,1975,,,1,,,1975
,Download Album,Download Album,Value,1976,1976,,,1,,,1976
,Download Album,Download Album,Value,1977,1977,,,1,,,1977
,Download Album,Download Album,Value,1978,1978,,,1,,,1978
,Download Album,Download Album,Value,1979,1979,,,1,,,1979
,Download Album,Download Album,Value,1980,1980,,,1,,,1980
,Download Album,Download Album,Value,1981,1981,,,1,,,1981
,Download Album,Download Album,Value,1982,1982,,,1,,,1982
,Download Album,Download Album,Value,1983,1983,,,1,,,1983
,Download Album,Download Album,Value,1984,1984,,,1,,,1984
,Download Album,Download Album,Value,1985,1985,,,1,,,1985
,Download Album,Download Album,Value,1986,1986,,,1,,,1986
,Download Album,Download Album,Value,1987,1987,,,1,,,1987
,Download Album,Download Album,Value,1988,1988,,,1,,,1988
,Download Album,Download Album,Value,1989,1989,,,1,,,1989
,Download Album,Download Album,Value,1990,1990,,,1,,,1990
,Download Album,Download Album,Value,1991,1991,,,1,,,1991
,Download Album,Download Album,Value,1992,1992,,,1,,,1992
,Download Album,Download Album,Value,1993,1993,,,1,,,1993
,Download Album,Download Album,Value,1994,1994,,,1,,,1994
,Download Album,Download Album,Value,1995,1995,,,1,,,1995
,Download Album,Download Album,Value,1996,1996,,,1,,,1996
,Download Album,Download Album,Value,1997,1997,,,1,,,1997
,Download Album,Download Album,Value,1998,1998,,,1,,,1998
,Download Album,Download Album,Value,1999,1999,,,1,,,1999
,Download Album,Download Album,Value,2000,2000,,,1,,,2000
,Download Album,Download Album,Value,2001,2001,,,1,,,2001
,Download Album,Download Album,Value,2002,2002,,,1,,,2002
,Download Album,Download Album,Value,2003,2003,,,1,,,2003
,Download Album,Download Album,Value,2004,2004,,$45.5M,1,45.5,$46M,2004
,Download Album,Download Album,Value,2005,2005,,$135.7M,1,135.7,$136M,2005
,Download Album,Download Album,Value,2006,2006,,$275.9M,1,275.9,$276M,2006
,Download Album,Download Album,Value,2007,2007,,$497.4M,1,497.4,$497M,2007
,Download Album,Download Album,Value,2008,2008,,$635.3M,1,635.3,$635M,2008
,Download Album,Download Album,Value,2009,2009,,$744.3M,1,744.3,$744M,2009
,Download Album,Download Album,Value,2010,2010,,$872.4M,1,872.4,$872M,2010
,Download Album,Download Album,Value,2011,2011,$1.1B,,1,1070.8,"$1,071M",2011
,Download Album,Download Album,Value,2012,2012,$1.2B,,1,1204.822242537,"$1,205M",2012
,Download Album,Download Album,Value,2013,2013,$1.2B,,1,1232.139715617,"$1,232M",2013
,Download Album,Download Album,Value,2014,2014,$1.1B,,1,1117.900008828,"$1,118M",2014
,Download Album,Download Album,Value,2015,2015,$1.1B,,1,1064.433606664,"$1,064M",2015
,Download Album,Download Album,Value,2016,2016,,$868.6M,1,868.59426835,$869M,2016
,Download Album,Download Album,Value,2017,2017,,$668.5M,1,668.500705901,$669M,2017
,Download Album,Download Album,Value,2018,2018,,$499.7M,1,499.65083242,$500M,2018
,Download Album,Download Album,Value,2019,2019,,$394.5M,1,394.533006158,$395M,2019
,Download Music Video,Download Music Video,Value,1973,1973,,,1,,,1973
,Download Music Video,Download Music Video,Value,1974,1974,,,1,,,1974
,Download Music Video,Download Music Video,Value,1975,1975,,,1,,,1975
,Download Music Video,Download Music Video,Value,1976,1976,,,1,,,1976
,Download Music Video,Download Music Video,Value,1977,1977,,,1,,,1977
,Download Music Video,Download Music Video,Value,1978,1978,,,1,,,1978
,Download Music Video,Download Music Video,Value,1979,1979,,,1,,,1979
,Download Music Video,Download Music Video,Value,1980,1980,,,1,,,1980
,Download Music Video,Download Music Video,Value,1981,1981,,,1,,,1981
,Download Music Video,Download Music Video,Value,1982,1982,,,1,,,1982
,Download Music Video,Download Music Video,Value,1983,1983,,,1,,,1983
,Download Music Video,Download Music Video,Value,1984,1984,,,1,,,1984
,Download Music Video,Download Music Video,Value,1985,1985,,,1,,,1985
,Download Music Video,Download Music Video,Value,1986,1986,,,1,,,1986
,Download Music Video,Download Music Video,Value,1987,1987,,,1,,,1987
,Download Music Video,Download Music Video,Value,1988,1988,,,1,,,1988
,Download Music Video,Download Music Video,Value,1989,1989,,,1,,,1989
,Download Music Video,Download Music Video,Value,1990,1990,,,1,,,1990
,Download Music Video,Download Music Video,Value,1991,1991,,,1,,,1991
,Download Music Video,Download Music Video,Value,1992,1992,,,1,,,1992
,Download Music Video,Download Music Video,Value,1993,1993,,,1,,,1993
,Download Music Video,Download Music Video,Value,1994,1994,,,1,,,1994
,Download Music Video,Download Music Video,Value,1995,1995,,,1,,,1995
,Download Music Video,Download Music Video,Value,1996,1996,,,1,,,1996
,Download Music Video,Download Music Video,Value,1997,1997,,,1,,,1997
,Download Music Video,Download Music Video,Value,1998,1998,,,1,,,1998
,Download Music Video,Download Music Video,Value,1999,1999,,,1,,,1999
,Download Music Video,Download Music Video,Value,2000,2000,,,1,,,2000
,Download Music Video,Download Music Video,Value,2001,2001,,,1,,,2001
,Download Music Video,Download Music Video,Value,2002,2002,,,1,,,2002
,Download Music Video,Download Music Video,Value,2003,2003,,,1,,,2003
,Download Music Video,Download Music Video,Value,2004,2004,,,1,,,2004
,Download Music Video,Download Music Video,Value,2005,2005,,$3.7M,1,3.7,$4M,2005
,Download Music Video,Download Music Video,Value,2006,2006,,$19.7M,1,19.7,$20M,2006
,Download Music Video,Download Music Video,Value,2007,2007,,$28.2M,1,28.2,$28M,2007
,Download Music Video,Download Music Video,Value,2008,2008,,$41.3M,1,41.3,$41M,2008
,Download Music Video,Download Music Video,Value,2009,2009,,$40.9M,1,40.9,$41M,2009
,Download Music Video,Download Music Video,Value,2010,2010,,$36.6M,1,36.6,$37M,2010
,Download Music Video,Download Music Video,Value,2011,2011,,$32.4M,1,32.4,$32M,2011
,Download Music Video,Download Music Video,Value,2012,2012,,$20.8M,1,20.842242,$21M,2012
,Download Music Video,Download Music Video,Value,2013,2013,,$16.7M,1,16.740803,$17M,2013
,Download Music Video,Download Music Video,Value,2014,2014,,$13.6M,1,13.577058,$14M,2014
,Download Music Video,Download Music Video,Value,2015,2015,,$6.4M,1,6.414419,$6M,2015
,Download Music Video,Download Music Video,Value,2016,2016,,$4.3M,1,4.26940012,$4M,2016
,Download Music Video,Download Music Video,Value,2017,2017,,$2.8M,1,2.785780489,$3M,2017
,Download Music Video,Download Music Video,Value,2018,2018,,$2.2M,1,2.2208106,$2M,2018
,Download Music Video,Download Music Video,Value,2019,2019,,$1.9M,1,1.858910402,$2M,2019
,Download Single,Download Single,Value,1973,1973,,,1,,,1973
,Download Single,Download Single,Value,1974,1974,,,1,,,1974
,Download Single,Download Single,Value,1975,1975,,,1,,,1975
,Download Single,Download Single,Value,1976,1976,,,1,,,1976
,Download Single,Download Single,Value,1977,1977,,,1,,,1977
,Download Single,Download Single,Value,1978,1978,,,1,,,1978
,Download Single,Download Single,Value,1979,1979,,,1,,,1979
,Download Single,Download Single,Value,1980,1980,,,1,,,1980
,Download Single,Download Single,Value,1981,1981,,,1,,,1981
,Download Single,Download Single,Value,1982,1982,,,1,,,1982
,Download Single,Download Single,Value,1983,1983,,,1,,,1983
,Download Single,Download Single,Value,1984,1984,,,1,,,1984
,Download Single,Download Single,Value,1985,1985,,,1,,,1985
,Download Single,Download Single,Value,1986,1986,,,1,,,1986
,Download Single,Download Single,Value,1987,1987,,,1,,,1987
,Download Single,Download Single,Value,1988,1988,,,1,,,1988
,Download Single,Download Single,Value,1989,1989,,,1,,,1989
,Download Single,Download Single,Value,1990,1990,,,1,,,1990
,Download Single,Download Single,Value,1991,1991,,,1,,,1991
,Download Single,Download Single,Value,1992,1992,,,1,,,1992
,Download Single,Download Single,Value,1993,1993,,,1,,,1993
,Download Single,Download Single,Value,1994,1994,,,1,,,1994
,Download Single,Download Single,Value,1995,1995,,,1,,,1995
,Download Single,Download Single,Value,1996,1996,,,1,,,1996
,Download Single,Download Single,Value,1997,1997,,,1,,,1997
,Download Single,Download Single,Value,1998,1998,,,1,,,1998
,Download Single,Download Single,Value,1999,1999,,,1,,,1999
,Download Single,Download Single,Value,2000,2000,,,1,,,2000
,Download Single,Download Single,Value,2001,2001,,,1,,,2001
,Download Single,Download Single,Value,2002,2002,,,1,,,2002
,Download Single,Download Single,Value,2003,2003,,,1,,,2003
,Download Single,Download Single,Value,2004,2004,,$138.0M,1,138,$138M,2004
,Download Single,Download Single,Value,2005,2005,,$363.3M,1,363.3,$363M,2005
,Download Single,Download Single,Value,2006,2006,,$580.6M,1,580.6,$581M,2006
,Download Single,Download Single,Value,2007,2007,,$811.0M,1,811,$811M,2007
,Download Single,Download Single,Value,2008,2008,$1.0B,,1,1032.2,"$1,032M",2008
,Download Single,Download Single,Value,2009,2009,$1.2B,,1,1172,"$1,172M",2009
,Download Single,Download Single,Value,2010,2010,$1.3B,,1,1336.4,"$1,336M",2010
,Download Single,Download Single,Value,2011,2011,$1.5B,,1,1522.4,"$1,522M",2011
,Download Single,Download Single,Value,2012,2012,$1.6B,,1,1644.570645308,"$1,645M",2012
,Download Single,Download Single,Value,2013,2013,$1.6B,,1,1573.420534445,"$1,573M",2013
,Download Single,Download Single,Value,2014,2014,$1.4B,,1,1355.331251323,"$1,355M",2014
,Download Single,Download Single,Value,2015,2015,$1.2B,,1,1185.237594639,"$1,185M",2015
,Download Single,Download Single,Value,2016,2016,,$900.2M,1,900.181481066,$900M,2016
,Download Single,Download Single,Value,2017,2017,,$678.5M,1,678.524888322,$679M,2017
,Download Single,Download Single,Value,2018,2018,,$490.4M,1,490.430488658,$490M,2018
,Download Single,Download Single,Value,2019,2019,,$414.8M,1,414.804250982,$415M,2019
,Kiosk,Kiosk,Value,1973,1973,,,1,,,1973
,Kiosk,Kiosk,Value,1974,1974,,,1,,,1974
,Kiosk,Kiosk,Value,1975,1975,,,1,,,1975
,Kiosk,Kiosk,Value,1976,1976,,,1,,,1976
,Kiosk,Kiosk,Value,1977,1977,,,1,,,1977
,Kiosk,Kiosk,Value,1978,1978,,,1,,,1978
,Kiosk,Kiosk,Value,1979,1979,,,1,,,1979
,Kiosk,Kiosk,Value,1980,1980,,,1,,,1980
,Kiosk,Kiosk,Value,1981,1981,,,1,,,1981
,Kiosk,Kiosk,Value,1982,1982,,,1,,,1982
,Kiosk,Kiosk,Value,1983,1983,,,1,,,1983
,Kiosk,Kiosk,Value,1984,1984,,,1,,,1984
,Kiosk,Kiosk,Value,1985,1985,,,1,,,1985
,Kiosk,Kiosk,Value,1986,1986,,,1,,,1986
,Kiosk,Kiosk,Value,1987,1987,,,1,,,1987
,Kiosk,Kiosk,Value,1988,1988,,,1,,,1988
,Kiosk,Kiosk,Value,1989,1989,,,1,,,1989
,Kiosk,Kiosk,Value,1990,1990,,,1,,,1990
,Kiosk,Kiosk,Value,1991,1991,,,1,,,1991
,Kiosk,Kiosk,Value,1992,1992,,,1,,,1992
,Kiosk,Kiosk,Value,1993,1993,,,1,,,1993
,Kiosk,Kiosk,Value,1994,1994,,,1,,,1994
,Kiosk,Kiosk,Value,1995,1995,,,1,,,1995
,Kiosk,Kiosk,Value,1996,1996,,,1,,,1996
,Kiosk,Kiosk,Value,1997,1997,,,1,,,1997
,Kiosk,Kiosk,Value,1998,1998,,,1,,,1998
,Kiosk,Kiosk,Value,1999,1999,,,1,,,1999
,Kiosk,Kiosk,Value,2000,2000,,,1,,,2000
,Kiosk,Kiosk,Value,2001,2001,,,1,,,2001
,Kiosk,Kiosk,Value,2002,2002,,,1,,,2002
,Kiosk,Kiosk,Value,2003,2003,,,1,,,2003
,Kiosk,Kiosk,Value,2004,2004,,,1,,,2004
,Kiosk,Kiosk,Value,2005,2005,,$1.0M,1,1,$1M,2005
,Kiosk,Kiosk,Value,2006,2006,,$1.9M,1,1.9,$2M,2006
,Kiosk,Kiosk,Value,2007,2007,,$2.6M,1,2.6,$3M,2007
,Kiosk,Kiosk,Value,2008,2008,,$2.6M,1,2.6,$3M,2008
,Kiosk,Kiosk,Value,2009,2009,,$6.3M,1,6.3,$6M,2009
,Kiosk,Kiosk,Value,2010,2010,,$6.4M,1,6.4,$6M,2010
,Kiosk,Kiosk,Value,2011,2011,,$2.7M,1,2.7,$3M,2011
,Kiosk,Kiosk,Value,2012,2012,,$3.7M,1,3.654065,$4M,2012
,Kiosk,Kiosk,Value,2013,2013,,$6.2M,1,6.183604,$6M,2013
,Kiosk,Kiosk,Value,2014,2014,,$2.6M,1,2.582636,$3M,2014
,Kiosk,Kiosk,Value,2015,2015,,$3.7M,1,3.700455,$4M,2015
,Kiosk,Kiosk,Value,2016,2016,,$2.9M,1,2.943916801,$3M,2016
,Kiosk,Kiosk,Value,2017,2017,,$2.3M,1,2.25474315,$2M,2017
,Kiosk,Kiosk,Value,2018,2018,,$2.0M,1,1.965045799,$2M,2018
,Kiosk,Kiosk,Value,2019,2019,,$1.6M,1,1.586470587,$2M,2019
,LP/EP,LP/EP,Value,1986,1986,,$983.0M,1,983,$983M,1986
,LP/EP,LP/EP,Value,1987,1987,,$793.1M,1,793.1,$793M,1987
