Adjusted for Inflation Flag,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (For Charting),Year (copy)
,,,CD,Value,1981,1981,,,1,,,1981
,,,CD,Value,1982,1982,,,1,,,1982
,,,CD,Value,1983,1983,,$17.2M,1,17.2,17.2,1983
,,,CD,Value,1984,1984,,$103.3M,1,103.3,103.3,1984
,,,CD,Value,1985,1985,,$389.5M,1,389.5,389.5,1985
,,,CD,Value,1986,1986,,$930.1M,1,930.1,930.1,1986
,,,CD,Value,1987,1987,$1.6B,,1,1593.6,1593.6,1987
,,,CD,Value,1988,1988,$2.1B,,1,2089.9,2089.9,1988
,,,CD,Value,1989,1989,$2.6B,,1,2587.7,2587.7,1989
,,,CD,Value,1990,1990,$3.5B,,1,3451.6,3451.6,1990
,,,CD,Value,1991,1991,$4.3B,,1,4337.7,4337.7,1991
,,,CD,Value,1992,1992,$5.3B,,1,5326.5,5326.5,1992
,,,CD,Value,1993,1993,$6.5B,,1,6511.4,6511.4,1993
,,,CD,Value,1994,1994,$8.5B,,1,8464.5,8464.5,1994
,,,CD,Value,1995,1995,$9.4B,,1,9377.4,9377.4,1995
,,,CD,Value,1996,1996,$9.9B,,1,9934.7,9934.7,1996
,,,CD,Value,1997,1997,$9.9B,,1,9915.1,9915.1,1997
,,,CD,Value,1998,1998,$11.4B,,1,11416,11416,1998
,,,CD,Value,1999,1999,$12.8B,,1,12816.3,12816.3,1999
,,,CD,Value,2000,2000,$13.2B,,1,13214.5,13214.5,2000
,,,CD,Value,2001,2001,$12.9B,,1,12909.4,12909.4,2001
,,,CD,Value,2002,2002,$12.0B,,1,12044.1,12044.1,2002
,,,CD,Value,2003,2003,$11.2B,,1,11232.9,11232.9,2003
,,,CD,Value,2004,2004,$11.4B,,1,11446.5,11446.5,2004
,,,CD,Value,2005,2005,$10.5B,,1,10520.2,10520.2,2005
,,,CD,Value,2006,2006,$9.4B,,1,9372.6,9372.6,2006
,,,CD,Value,2007,2007,$7.5B,,1,7452.3,7452.3,2007
,,,CD,Value,2008,2008,$5.5B,,1,5471.3,5471.3,2008
,,,CD,Value,2009,2009,$4.3B,,1,4318.8,4318.8,2009
,,,CD,Value,2010,2010,$3.4B,,1,3389.4,3389.4,2010
,,,CD,Value,2011,2011,$3.1B,,1,3100.7,3100.7,2011
,,,CD,Value,2012,2012,$2.5B,,1,2485.614699086,2485.614699086,2012
,,,CD,Value,2013,2013,$2.1B,,1,2140.917718167,2140.917718167,2013
,,,CD,Value,2014,2014,$1.8B,,1,1776.249323795,1776.249323795,2014
,,,CD,Value,2015,2015,$1.4B,,1,1444.993193529,1444.993193529,2015
,,,CD,Value,2016,2016,$1.1B,,1,1130.764650638,1130.764650638,2016
,,,CD,Value,2017,2017,$1.1B,,1,1057.323090205,1057.323090205,2017
,,,CD,Value,2018,2018,,$698.4M,1,698.386637244,698.386637244,2018
,,,CD,Value,2019,2019,,$614.5M,1,614.509779894,614.509779894,2019
,,,CD Single,Value,1973,1973,,,1,,,1973
,,,CD Single,Value,1974,1974,,,1,,,1974
,,,CD Single,Value,1975,1975,,,1,,,1975
,,,CD Single,Value,1976,1976,,,1,,,1976
,,,CD Single,Value,1977,1977,,,1,,,1977
,,,CD Single,Value,1978,1978,,,1,,,1978
,,,CD Single,Value,1979,1979,,,1,,,1979
,,,CD Single,Value,1980,1980,,,1,,,1980
,,,CD Single,Value,1981,1981,,,1,,,1981
,,,CD Single,Value,1982,1982,,,1,,,1982
,,,CD Single,Value,1983,1983,,,1,,,1983
,,,CD Single,Value,1984,1984,,,1,,,1984
,,,CD Single,Value,1985,1985,,,1,,,1985
,,,CD Single,Value,1986,1986,,,1,,,1986
,,,CD Single,Value,1987,1987,,,1,,,1987
,,,CD Single,Value,1988,1988,,$9.8M,1,9.8,9.8,1988
,,,CD Single,Value,1989,1989,,-$0.7M,1,-0.7,,1989
,,,CD Single,Value,1990,1990,,$6.0M,1,6,6,1990
,,,CD Single,Value,1991,1991,,$35.1M,1,35.1,35.1,1991
,,,CD Single,Value,1992,1992,,$45.1M,1,45.1,45.1,1992
,,,CD Single,Value,1993,1993,,$45.8M,1,45.8,45.8,1993
,,,CD Single,Value,1994,1994,,$56.1M,1,56.1,56.1,1994
,,,CD Single,Value,1995,1995,,$110.9M,1,110.9,110.9,1995
,,,CD Single,Value,1996,1996,,$184.1M,1,184.1,184.1,1996
,,,CD Single,Value,1997,1997,,$272.7M,1,272.7,272.7,1997
,,,CD Single,Value,1998,1998,,$213.2M,1,213.2,213.2,1998
,,,CD Single,Value,1999,1999,,$222.4M,1,222.4,222.4,1999
,,,CD Single,Value,2000,2000,,$142.7M,1,142.7,142.7,2000
,,,CD Single,Value,2001,2001,,$79.4M,1,79.4,79.4,2001
,,,CD Single,Value,2002,2002,,$19.6M,1,19.6,19.6,2002
,,,CD Single,Value,2003,2003,,$36.0M,1,36,36,2003
,,,CD Single,Value,2004,2004,,$15.0M,1,15,15,2004
,,,CD Single,Value,2005,2005,,$10.9M,1,10.9,10.9,2005
,,,CD Single,Value,2006,2006,,$7.7M,1,7.7,7.7,2006
,,,CD Single,Value,2007,2007,,$12.2M,1,12.2,12.2,2007
,,,CD Single,Value,2008,2008,,$3.5M,1,3.5,3.5,2008
,,,CD Single,Value,2009,2009,,$3.1M,1,3.1,3.1,2009
,,,CD Single,Value,2010,2010,,$2.9M,1,2.9,2.9,2010
,,,CD Single,Value,2011,2011,,$3.5M,1,3.5,3.5,2011
,,,CD Single,Value,2012,2012,,$3.2M,1,3.225092945,3.225092945,2012
,,,CD Single,Value,2013,2013,,$2.4M,1,2.445737226,2.445737226,2013
,,,CD Single,Value,2014,2014,,$3.6M,1,3.616015547,3.616015547,2014
,,,CD Single,Value,2015,2015,,$1.2M,1,1.19694661,1.19694661,2015
,,,CD Single,Value,2016,2016,,$0.3M,1,0.263199082,0.263199082,2016
,,,CD Single,Value,2017,2017,,$1.5M,1,1.478694184,1.478694184,2017
,,,CD Single,Value,2018,2018,,$0.2M,1,0.15516984,0.15516984,2018
,,,CD Single,Value,2019,2019,,$0.2M,1,0.181678878,0.181678878,2019
,,,Cassette,Value,1973,1973,,$76.0M,1,76,76,1973
,,,Cassette,Value,1974,1974,,$87.2M,1,87.2,87.2,1974
,,,Cassette,Value,1975,1975,,$98.8M,1,98.8,98.8,1975
,,,Cassette,Value,1976,1976,,$145.7M,1,145.7,145.7,1976
,,,Cassette,Value,1977,1977,,$249.6M,1,249.6,249.6,1977
,,,Cassette,Value,1978,1978,,$449.8M,1,449.8,449.8,1978
,,,Cassette,Value,1979,1979,,$580.6M,1,580.6,580.6,1979
,,,Cassette,Value,1980,1980,,$705.0M,1,705,705,1980
,,,Cassette,Value,1981,1981,$1.1B,,1,1062.8,1062.8,1981
,,,Cassette,Value,1982,1982,$1.4B,,1,1384.5,1384.5,1982
,,,Cassette,Value,1983,1983,$1.8B,,1,1810.9,1810.9,1983
,,,Cassette,Value,1984,1984,$2.4B,,1,2383.9,2383.9,1984
,,,Cassette,Value,1985,1985,$2.4B,,1,2411.5,2411.5,1985
,,,Cassette,Value,1986,1986,$2.5B,,1,2499.5,2499.5,1986
,,,Cassette,Value,1987,1987,$3.0B,,1,2959.7,2959.7,1987
,,,Cassette,Value,1988,1988,$3.4B,,1,3385.1,3385.1,1988
,,,Cassette,Value,1989,1989,$3.3B,,1,3345.8,3345.8,1989
,,,Cassette,Value,1990,1990,$3.5B,,1,3472.4,3472.4,1990
,,,Cassette,Value,1991,1991,$3.0B,,1,3019.6,3019.6,1991
,,,Cassette,Value,1992,1992,$3.1B,,1,3116.3,3116.3,1992
,,,Cassette,Value,1993,1993,$2.9B,,1,2915.8,2915.8,1993
,,,Cassette,Value,1994,1994,$3.0B,,1,2976.4,2976.4,1994
,,,Cassette,Value,1995,1995,$2.3B,,1,2303.6,2303.6,1995
,,,Cassette,Value,1996,1996,$1.9B,,1,1905.3,1905.3,1996
,,,Cassette,Value,1997,1997,$1.5B,,1,1522.7,1522.7,1997
,,,Cassette,Value,1998,1998,$1.4B,,1,1419.9,1419.9,1998
,,,Cassette,Value,1999,1999,$1.1B,,1,1061.6,1061.6,1999
,,,Cassette,Value,2000,2000,,$626.0M,1,626,626,2000
,,,Cassette,Value,2001,2001,,$363.4M,1,363.4,363.4,2001
,,,Cassette,Value,2002,2002,,$209.8M,1,209.8,209.8,2002
,,,Cassette,Value,2003,2003,,$108.1M,1,108.1,108.1,2003
,,,Cassette,Value,2004,2004,,$23.7M,1,23.7,23.7,2004
,,,Cassette,Value,2005,2005,,$13.1M,1,13.1,13.1,2005
,,,Cassette,Value,2006,2006,,$3.7M,1,3.7,3.7,2006
,,,Cassette,Value,2007,2007,,$3.0M,1,3,3,2007
,,,Cassette,Value,2008,2008,,$0.9M,1,0.9,0.9,2008
,,,Cassette,Value,2009,2009,,$0.00,1,0,0,2009
,,,Cassette,Value,2010,2010,,,1,,,2010
,,,Cassette,Value,2011,2011,,,1,,,2011
,,,Cassette,Value,2012,2012,,,1,,,2012
,,,Cassette,Value,2013,2013,,,1,,,2013
,,,Cassette,Value,2014,2014,,,1,,,2014
,,,Cassette,Value,2015,2015,,,1,,,2015
,,,Cassette,Value,2016,2016,,,1,,,2016
,,,Cassette,Value,2017,2017,,,1,,,2017
,,,Cassette,Value,2018,2018,,,1,,,2018
,,,Cassette,Value,2019,2019,,,1,,,2019
,,,Cassette Single,Value,1973,1973,,,1,,,1973
,,,Cassette Single,Value,1974,1974,,,1,,,1974
,,,Cassette Single,Value,1975,1975,,,1,,,1975
,,,Cassette Single,Value,1976,1976,,,1,,,1976
,,,Cassette Single,Value,1977,1977,,,1,,,1977
,,,Cassette Single,Value,1978,1978,,,1,,,1978
,,,Cassette Single,Value,1979,1979,,,1,,,1979
,,,Cassette Single,Value,1980,1980,,,1,,,1980
,,,Cassette Single,Value,1981,1981,,,1,,,1981
,,,Cassette Single,Value,1982,1982,,,1,,,1982
,,,Cassette Single,Value,1983,1983,,,1,,,1983
,,,Cassette Single,Value,1984,1984,,,1,,,1984
,,,Cassette Single,Value,1985,1985,,,1,,,1985
,,,8 - Track,Value,1973,1973,,$489.0M,1,489,489,1973
,,,8 - Track,Value,1974,1974,,$549.2M,1,549.2,549.2,1974
,,,8 - Track,Value,1975,1975,,$583.0M,1,583,583,1975
,,,8 - Track,Value,1976,1976,,$678.2M,1,678.2,678.2,1976
,,,8 - Track,Value,1977,1977,,$811.0M,1,811,811,1977
,,,8 - Track,Value,1978,1978,,$948.0M,1,948,948,1978
,,,8 - Track,Value,1979,1979,,$684.3M,1,684.3,684.3,1979
,,,8 - Track,Value,1980,1980,,$527.0M,1,527,527,1980
,,,8 - Track,Value,1981,1981,,$313.0M,1,313,313,1981
,,,8 - Track,Value,1982,1982,,$36.0M,1,36,36,1982
,,,8 - Track,Value,1983,1983,,,1,,,1983
,,,8 - Track,Value,1984,1984,,,1,,,1984
,,,8 - Track,Value,1985,1985,,,1,,,1985
,,,8 - Track,Value,1986,1986,,,1,,,1986
,,,8 - Track,Value,1987,1987,,,1,,,1987
,,,8 - Track,Value,1988,1988,,,1,,,1988
,,,8 - Track,Value,1989,1989,,,1,,,1989
,,,8 - Track,Value,1990,1990,,,1,,,1990
,,,8 - Track,Value,1991,1991,,,1,,,1991
,,,8 - Track,Value,1992,1992,,,1,,,1992
,,,8 - Track,Value,1993,1993,,,1,,,1993
,,,8 - Track,Value,1994,1994,,,1,,,1994
,,,8 - Track,Value,1995,1995,,,1,,,1995
,,,8 - Track,Value,1996,1996,,,1,,,1996
,,,8 - Track,Value,1997,1997,,,1,,,1997
,,,8 - Track,Value,1998,1998,,,1,,,1998
,,,8 - Track,Value,1999,1999,,,1,,,1999
,,,8 - Track,Value,2000,2000,,,1,,,2000
,,,8 - Track,Value,2001,2001,,,1,,,2001
,,,8 - Track,Value,2002,2002,,,1,,,2002
,,,8 - Track,Value,2003,2003,,,1,,,2003
,,,8 - Track,Value,2004,2004,,,1,,,2004
,,,8 - Track,Value,2005,2005,,,1,,,2005
,,,8 - Track,Value,2006,2006,,,1,,,2006
,,,8 - Track,Value,2007,2007,,,1,,,2007
,,,8 - Track,Value,2008,2008,,,1,,,2008
,,,8 - Track,Value,2009,2009,,,1,,,2009
,,,8 - Track,Value,2010,2010,,,1,,,2010
,,,8 - Track,Value,2011,2011,,,1,,,2011
,,,8 - Track,Value,2012,2012,,,1,,,2012
,,,8 - Track,Value,2013,2013,,,1,,,2013
,,,8 - Track,Value,2014,2014,,,1,,,2014
,,,8 - Track,Value,2015,2015,,,1,,,2015
,,,8 - Track,Value,2016,2016,,,1,,,2016
,,,8 - Track,Value,2017,2017,,,1,,,2017
,,,8 - Track,Value,2018,2018,,,1,,,2018
,,,8 - Track,Value,2019,2019,,,1,,,2019
,,,Cassette Single,Value,1986,1986,,,1,,,1986
,,,Cassette Single,Value,1987,1987,,$14.3M,1,14.3,14.3,1987
,,,Cassette Single,Value,1988,1988,,$57.3M,1,57.3,57.3,1988
,,,Cassette Single,Value,1989,1989,,$194.6M,1,194.6,194.6,1989
,,,Cassette Single,Value,1990,1990,,$257.9M,1,257.9,257.9,1990
,,,Cassette Single,Value,1991,1991,,$230.4M,1,230.4,230.4,1991
,,,Cassette Single,Value,1992,1992,,$298.8M,1,298.8,298.8,1992
,,,Cassette Single,Value,1993,1993,,$298.5M,1,298.5,298.5,1993
,,,Cassette Single,Value,1994,1994,,$274.9M,1,274.9,274.9,1994
,,,Cassette Single,Value,1995,1995,,$236.3M,1,236.3,236.3,1995
,,,Cassette Single,Value,1996,1996,,$189.3M,1,189.3,189.3,1996
,,,Cassette Single,Value,1997,1997,,$133.5M,1,133.5,133.5,1997
,,,Cassette Single,Value,1998,1998,,$94.4M,1,94.4,94.4,1998
,,,Cassette Single,Value,1999,1999,,$48.0M,1,48,48,1999
,,,Cassette Single,Value,2000,2000,,$4.6M,1,4.6,4.6,2000
,,,Cassette Single,Value,2001,2001,,-$5.3M,1,-5.3,,2001
,,,Cassette Single,Value,2002,2002,,-$1.6M,1,-1.6,,2002
,,,Cassette Single,Value,2003,2003,,,1,,,2003
,,,Cassette Single,Value,2004,2004,,,1,,,2004
,,,Cassette Single,Value,2005,2005,,,1,,,2005
,,,Cassette Single,Value,2006,2006,,,1,,,2006
,,,Cassette Single,Value,2007,2007,,,1,,,2007
,,,Cassette Single,Value,2008,2008,,,1,,,2008
,,,Cassette Single,Value,2009,2009,,,1,,,2009
,,,Cassette Single,Value,2010,2010,,,1,,,2010
,,,Cassette Single,Value,2011,2011,,,1,,,2011
,,,Cassette Single,Value,2012,2012,,,1,,,2012
,,,Cassette Single,Value,2013,2013,,,1,,,2013
,,,Cassette Single,Value,2014,2014,,,1,,,2014
,,,Cassette Single,Value,2015,2015,,,1,,,2015
,,,Cassette Single,Value,2016,2016,,,1,,,2016
,,,Cassette Single,Value,2017,2017,,,1,,,2017
,,,Cassette Single,Value,2018,2018,,,1,,,2018
,,,Cassette Single,Value,2019,2019,,,1,,,2019
,,,DVD Audio,Value,1973,1973,,,1,,,1973
,,,DVD Audio,Value,1974,1974,,,1,,,1974
,,,DVD Audio,Value,1975,1975,,,1,,,1975
,,,DVD Audio,Value,1976,1976,,,1,,,1976
,,,DVD Audio,Value,1977,1977,,,1,,,1977
,,,DVD Audio,Value,1978,1978,,,1,,,1978
,,,DVD Audio,Value,1979,1979,,,1,,,1979
,,,DVD Audio,Value,1980,1980,,,1,,,1980
,,,DVD Audio,Value,1981,1981,,,1,,,1981
,,,DVD Audio,Value,1982,1982,,,1,,,1982
,,,DVD Audio,Value,1983,1983,,,1,,,1983
,,,DVD Audio,Value,1984,1984,,,1,,,1984
,,,DVD Audio,Value,1985,1985,,,1,,,1985
,,,DVD Audio,Value,1986,1986,,,1,,,1986
,,,DVD Audio,Value,1987,1987,,,1,,,1987
,,,DVD Audio,Value,1988,1988,,,1,,,1988
,,,DVD Audio,Value,1989,1989,,,1,,,1989
,,,DVD Audio,Value,1990,1990,,,1,,,1990
,,,DVD Audio,Value,1991,1991,,,1,,,1991
,,,DVD Audio,Value,1992,1992,,,1,,,1992
,,,DVD Audio,Value,1993,1993,,,1,,,1993
,,,DVD Audio,Value,1994,1994,,,1,,,1994
,,,DVD Audio,Value,1995,1995,,,1,,,1995
,,,DVD Audio,Value,1996,1996,,,1,,,1996
,,,DVD Audio,Value,1997,1997,,,1,,,1997
,,,DVD Audio,Value,1998,1998,,,1,,,1998
,,,DVD Audio,Value,1999,1999,,,1,,,1999
,,,DVD Audio,Value,2000,2000,,,1,,,2000
,,,DVD Audio,Value,2001,2001,,$6.0M,1,6,6,2001
,,,DVD Audio,Value,2002,2002,,$8.5M,1,8.5,8.5,2002
,,,DVD Audio,Value,2003,2003,,$8.0M,1,8,8,2003
,,,DVD Audio,Value,2004,2004,,$6.5M,1,6.5,6.5,2004
,,,DVD Audio,Value,2005,2005,,$11.2M,1,11.2,11.2,2005
,,,DVD Audio,Value,2006,2006,,$2.4M,1,2.4,2.4,2006
,,,DVD Audio,Value,2007,2007,,$2.8M,1,2.8,2.8,2007
,,,DVD Audio,Value,2008,2008,,$1.2M,1,1.2,1.2,2008
,,,DVD Audio,Value,2009,2009,,$1.6M,1,1.6,1.6,2009
,,,DVD Audio,Value,2010,2010,,$0.9M,1,0.9,0.9,2010
,,,DVD Audio,Value,2011,2011,,$0.3M,1,0.3,0.3,2011
,,,DVD Audio,Value,2012,2012,,$0.2M,1,0.183106992,0.183106992,2012
,,,DVD Audio,Value,2013,2013,,-$0.5M,1,-0.495804191,,2013
,,,DVD Audio,Value,2014,2014,,$2.1M,1,2.139460944,2.139460944,2014
,,,DVD Audio,Value,2015,2015,,$5.4M,1,5.416232673,5.416232673,2015
,,,DVD Audio,Value,2016,2016,,$2.8M,1,2.83553587,2.83553587,2016
,,,DVD Audio,Value,2017,2017,,$2.6M,1,2.606840648,2.606840648,2017
,,,DVD Audio,Value,2018,2018,,$3.3M,1,3.317383752,3.317383752,2018
,,,DVD Audio,Value,2019,2019,,$1.1M,1,1.067303184,1.067303184,2019
,,,Download Album,Value,1973,1973,,,1,,,1973
,,,Download Album,Value,1974,1974,,,1,,,1974
,,,Download Album,Value,1975,1975,,,1,,,1975
,,,Download Album,Value,1976,1976,,,1,,,1976
,,,Download Album,Value,1977,1977,,,1,,,1977
,,,Download Album,Value,1978,1978,,,1,,,1978
,,,Download Album,Value,1979,1979,,,1,,,1979
,,,Download Album,Value,1980,1980,,,1,,,1980
,,,Download Album,Value,1981,1981,,,1,,,1981
,,,Download Album,Value,1982,1982,,,1,,,1982
,,,Download Album,Value,1983,1983,,,1,,,1983
,,,Download Album,Value,1984,1984,,,1,,,1984
,,,Download Album,Value,1985,1985,,,1,,,1985
,,,Download Album,Value,1986,1986,,,1,,,1986
,,,Download Album,Value,1987,1987,,,1,,,1987
,,,Download Album,Value,1988,1988,,,1,,,1988
,,,Download Album,Value,1989,1989,,,1,,,1989
,,,Download Album,Value,1990,1990,,,1,,,1990
,,,Download Album,Value,1991,1991,,,1,,,1991
,,,Download Album,Value,1992,1992,,,1,,,1992
,,,Download Album,Value,1993,1993,,,1,,,1993
,,,Download Album,Value,1994,1994,,,1,,,1994
,,,Download Album,Value,1995,1995,,,1,,,1995
,,,Download Album,Value,1996,1996,,,1,,,1996
,,,Download Album,Value,1997,1997,,,1,,,1997
,,,Download Album,Value,1998,1998,,,1,,,1998
,,,Download Album,Value,1999,1999,,,1,,,1999
,,,Download Album,Value,2000,2000,,,1,,,2000
,,,Download Album,Value,2001,2001,,,1,,,2001
,,,Download Album,Value,2002,2002,,,1,,,2002
,,,Download Album,Value,2003,2003,,,1,,,2003
,,,Download Album,Value,2004,2004,,$45.5M,1,45.5,45.5,2004
,,,Download Album,Value,2005,2005,,$135.7M,1,135.7,135.7,2005
,,,Download Album,Value,2006,2006,,$275.9M,1,275.9,275.9,2006
,,,Download Album,Value,2007,2007,,$497.4M,1,497.4,497.4,2007
,,,Download Album,Value,2008,2008,,$635.3M,1,635.3,635.3,2008
,,,Download Album,Value,2009,2009,,$744.3M,1,744.3,744.3,2009
,,,Download Album,Value,2010,2010,,$872.4M,1,872.4,872.4,2010
,,,Download Album,Value,2011,2011,$1.1B,,1,1070.8,1070.8,2011
,,,Download Album,Value,2012,2012,$1.2B,,1,1204.822242537,1204.822242537,2012
,,,Download Album,Value,2013,2013,$1.2B,,1,1232.139715617,1232.139715617,2013
,,,Download Album,Value,2014,2014,$1.1B,,1,1117.900008828,1117.900008828,2014
,,,Download Album,Value,2015,2015,$1.1B,,1,1064.433606664,1064.433606664,2015
,,,Download Album,Value,2016,2016,,$868.6M,1,868.59426835,868.59426835,2016
,,,Download Album,Value,2017,2017,,$668.5M,1,668.500705901,668.500705901,2017
,,,Download Album,Value,2018,2018,,$499.7M,1,499.65083242,499.65083242,2018
,,,Download Album,Value,2019,2019,,$394.5M,1,394.533006158,394.533006158,2019
,,,Download Music Video,Value,1973,1973,,,1,,,1973
,,,Download Music Video,Value,1974,1974,,,1,,,1974
,,,Download Music Video,Value,1975,1975,,,1,,,1975
,,,Download Music Video,Value,1976,1976,,,1,,,1976
,,,Download Music Video,Value,1977,1977,,,1,,,1977
,,,Download Music Video,Value,1978,1978,,,1,,,1978
,,,Download Music Video,Value,1979,1979,,,1,,,1979
,,,Download Music Video,Value,1980,1980,,,1,,,1980
,,,Download Music Video,Value,1981,1981,,,1,,,1981
,,,Download Music Video,Value,1982,1982,,,1,,,1982
,,,Download Music Video,Value,1983,1983,,,1,,,1983
,,,Download Music Video,Value,1984,1984,,,1,,,1984
,,,Download Music Video,Value,1985,1985,,,1,,,1985
,,,Download Music Video,Value,1986,1986,,,1,,,1986
,,,Download Music Video,Value,1987,1987,,,1,,,1987
,,,Download Music Video,Value,1988,1988,,,1,,,1988
,,,Download Music Video,Value,1989,1989,,,1,,,1989
,,,Download Music Video,Value,1990,1990,,,1,,,1990
,,,Download Music Video,Value,1991,1991,,,1,,,1991
,,,Download Music Video,Value,1992,1992,,,1,,,1992
,,,Download Music Video,Value,1993,1993,,,1,,,1993
,,,Download Music Video,Value,1994,1994,,,1,,,1994
,,,Download Music Video,Value,1995,1995,,,1,,,1995
,,,Download Music Video,Value,1996,1996,,,1,,,1996
,,,Download Music Video,Value,1997,1997,,,1,,,1997
,,,Download Music Video,Value,1998,1998,,,1,,,1998
,,,Download Music Video,Value,1999,1999,,,1,,,1999
,,,Download Music Video,Value,2000,2000,,,1,,,2000
,,,Download Music Video,Value,2001,2001,,,1,,,2001
,,,Download Music Video,Value,2002,2002,,,1,,,2002
,,,Download Music Video,Value,2003,2003,,,1,,,2003
,,,Download Music Video,Value,2004,2004,,,1,,,2004
,,,Download Music Video,Value,2005,2005,,$3.7M,1,3.7,3.7,2005
,,,Download Music Video,Value,2006,2006,,$19.7M,1,19.7,19.7,2006
,,,Download Music Video,Value,2007,2007,,$28.2M,1,28.2,28.2,2007
,,,Download Music Video,Value,2008,2008,,$41.3M,1,41.3,41.3,2008
,,,Download Music Video,Value,2009,2009,,$40.9M,1,40.9,40.9,2009
,,,Download Music Video,Value,2010,2010,,$36.6M,1,36.6,36.6,2010
,,,Download Music Video,Value,2011,2011,,$32.4M,1,32.4,32.4,2011
,,,Download Music Video,Value,2012,2012,,$20.8M,1,20.842242,20.842242,2012
,,,Download Music Video,Value,2013,2013,,$16.7M,1,16.740803,16.740803,2013
,,,Download Music Video,Value,2014,2014,,$13.6M,1,13.577058,13.577058,2014
,,,Download Music Video,Value,2015,2015,,$6.4M,1,6.414419,6.414419,2015
,,,Download Music Video,Value,2016,2016,,$4.3M,1,4.26940012,4.26940012,2016
,,,Download Music Video,Value,2017,2017,,$2.8M,1,2.785780489,2.785780489,2017
,,,Download Music Video,Value,2018,2018,,$2.2M,1,2.2208106,2.2208106,2018
,,,Download Music Video,Value,2019,2019,,$1.9M,1,1.858910402,1.858910402,2019
,,,Download Single,Value,1973,1973,,,1,,,1973
,,,Download Single,Value,1974,1974,,,1,,,1974
,,,Download Single,Value,1975,1975,,,1,,,1975
,,,Download Single,Value,1976,1976,,,1,,,1976
,,,Download Single,Value,1977,1977,,,1,,,1977
,,,Download Single,Value,1978,1978,,,1,,,1978
,,,Download Single,Value,1979,1979,,,1,,,1979
,,,Download Single,Value,1980,1980,,,1,,,1980
,,,Download Single,Value,1981,1981,,,1,,,1981
,,,Download Single,Value,1982,1982,,,1,,,1982
,,,Download Single,Value,1983,1983,,,1,,,1983
,,,Download Single,Value,1984,1984,,,1,,,1984
,,,Download Single,Value,1985,1985,,,1,,,1985
,,,Download Single,Value,1986,1986,,,1,,,1986
,,,Download Single,Value,1987,1987,,,1,,,1987
,,,Download Single,Value,1988,1988,,,1,,,1988
,,,Download Single,Value,1989,1989,,,1,,,1989
,,,Download Single,Value,1990,1990,,,1,,,1990
,,,Download Single,Value,1991,1991,,,1,,,1991
,,,Download Single,Value,1992,1992,,,1,,,1992
,,,Download Single,Value,1993,1993,,,1,,,1993
,,,Download Single,Value,1994,1994,,,1,,,1994
,,,Download Single,Value,1995,1995,,,1,,,1995
,,,Download Single,Value,1996,1996,,,1,,,1996
,,,Download Single,Value,1997,1997,,,1,,,1997
,,,Download Single,Value,1998,1998,,,1,,,1998
,,,Download Single,Value,1999,1999,,,1,,,1999
,,,Download Single,Value,2000,2000,,,1,,,2000
,,,Download Single,Value,2001,2001,,,1,,,2001
,,,Download Single,Value,2002,2002,,,1,,,2002
,,,Download Single,Value,2003,2003,,,1,,,2003
,,,Download Single,Value,2004,2004,,$138.0M,1,138,138,2004
,,,Download Single,Value,2005,2005,,$363.3M,1,363.3,363.3,2005
,,,Download Single,Value,2006,2006,,$580.6M,1,580.6,580.6,2006
,,,Download Single,Value,2007,2007,,$811.0M,1,811,811,2007
,,,Download Single,Value,2008,2008,$1.0B,,1,1032.2,1032.2,2008
,,,Download Single,Value,2009,2009,$1.2B,,1,1172,1172,2009
,,,Download Single,Value,2010,2010,$1.3B,,1,1336.4,1336.4,2010
,,,Download Single,Value,2011,2011,$1.5B,,1,1522.4,1522.4,2011
,,,Download Single,Value,2012,2012,$1.6B,,1,1644.570645308,1644.570645308,2012
,,,Download Single,Value,2013,2013,$1.6B,,1,1573.420534445,1573.420534445,2013
,,,Download Single,Value,2014,2014,$1.4B,,1,1355.331251323,1355.331251323,2014
,,,Download Single,Value,2015,2015,$1.2B,,1,1185.237594639,1185.237594639,2015
,,,Download Single,Value,2016,2016,,$900.2M,1,900.181481066,900.181481066,2016
,,,Download Single,Value,2017,2017,,$678.5M,1,678.524888322,678.524888322,2017
,,,Download Single,Value,2018,2018,,$490.4M,1,490.430488658,490.430488658,2018
,,,Download Single,Value,2019,2019,,$414.8M,1,414.804250982,414.804250982,2019
,,,Kiosk,Value,1973,1973,,,1,,,1973
,,,Kiosk,Value,1974,1974,,,1,,,1974
,,,Kiosk,Value,1975,1975,,,1,,,1975
,,,Kiosk,Value,1976,1976,,,1,,,1976
,,,Kiosk,Value,1977,1977,,,1,,,1977
,,,Kiosk,Value,1978,1978,,,1,,,1978
,,,Kiosk,Value,1979,1979,,,1,,,1979
,,,Kiosk,Value,1980,1980,,,1,,,1980
,,,Kiosk,Value,1981,1981,,,1,,,1981
,,,Kiosk,Value,1982,1982,,,1,,,1982
,,,Kiosk,Value,1983,1983,,,1,,,1983
,,,Kiosk,Value,1984,1984,,,1,,,1984
,,,Kiosk,Value,1985,1985,,,1,,,1985
,,,Kiosk,Value,1986,1986,,,1,,,1986
,,,Kiosk,Value,1987,1987,,,1,,,1987
,,,Kiosk,Value,1988,1988,,,1,,,1988
,,,Kiosk,Value,1989,1989,,,1,,,1989
