Format,Metric,Year,Actual_Value,Mode
LP/EP,Units,2004,1.4,Analog
LP/EP,Units,2005,1.0,Analog
LP/EP,Units,2006,0.9,Analog
LP/EP,Units,2007,1.3,Analog
LP/EP,Units,2008,2.9,Analog
LP/EP,Units,2009,3.5,Analog
LP/EP,Units,2010,4.2,Analog
LP/EP,Units,2011,5.5,Analog
LP/EP,Units,2012,6.915365189,Analog
LP/EP,Units,2013,9.35128587,Analog
LP/EP,Units,2014,10.315563906,Analog
LP/EP,Units,2015,13.68102972,Analog
LP/EP,Units,2016,14.770886026,Analog
LP/EP,Units,2017,15.556089168,Analog
LP/EP,Units,2018,16.670127326,Analog
LP/EP,Units,2019,19.103162826,Analog
Vinyl Single,Units,1973,228.0,Analog
Vinyl Single,Units,1974,204.0,Analog
Vinyl Single,Units,1975,164.0,Analog
Vinyl Single,Units,1976,190.0,Analog
Vinyl Single,Units,1977,190.0,Analog
Vinyl Single,Units,1978,190.0,Analog
Vinyl Single,Units,1979,212.0,Analog
Vinyl Single,Units,1980,157.0,Analog
Vinyl Single,Units,1981,154.7,Analog
Vinyl Single,Units,1982,137.2,Analog
Vinyl Single,Units,1983,124.8,Analog
Vinyl Single,Units,1984,131.5,Analog
Vinyl Single,Units,1985,120.7,Analog
Vinyl Single,Units,1986,93.9,Analog
Vinyl Single,Units,1987,82.0,Analog
Vinyl Single,Units,1988,65.6,Analog
Vinyl Single,Units,1989,36.6,Analog
Vinyl Single,Units,1990,27.6,Analog
Vinyl Single,Units,1991,22.0,Analog
Vinyl Single,Units,1992,19.8,Analog
Vinyl Single,Units,1993,15.1,Analog
Vinyl Single,Units,1994,11.7,Analog
Vinyl Single,Units,1995,10.2,Analog
Vinyl Single,Units,1996,10.1,Analog
Vinyl Single,Units,1997,7.5,Analog
Vinyl Single,Units,1998,5.4,Analog
Vinyl Single,Units,1999,5.3,Analog
Vinyl Single,Units,2000,4.8,Analog
Vinyl Single,Units,2001,5.5,Analog
Vinyl Single,Units,2002,4.4,Analog
Vinyl Single,Units,2003,3.8,Analog
Vinyl Single,Units,2004,3.5,Analog
Vinyl Single,Units,2005,2.3,Analog
Vinyl Single,Units,2006,1.5,Analog
Vinyl Single,Units,2007,0.6,Analog
Vinyl Single,Units,2008,0.4,Analog
Vinyl Single,Units,2009,0.3,Analog
Vinyl Single,Units,2010,0.3,Analog
Vinyl Single,Units,2011,0.4,Analog
Vinyl Single,Units,2012,0.3885736870000001,Analog
Vinyl Single,Units,2013,0.315817054,Analog
Vinyl Single,Units,2014,0.481198278,Analog
Vinyl Single,Units,2015,0.50786991,Analog
Vinyl Single,Units,2016,0.404330651,Analog
Vinyl Single,Units,2017,0.402959365,Analog
Vinyl Single,Units,2018,0.34616500200000005,Analog
Vinyl Single,Units,2019,0.336120488,Analog
8 - Track,Units,1973,91.0,Analog
8 - Track,Units,1974,96.7,Analog
8 - Track,Units,1975,94.6,Analog
8 - Track,Units,1976,106.1,Analog
8 - Track,Units,1977,127.3,Analog
8 - Track,Units,1978,133.6,Analog
8 - Track,Units,1979,102.3,Analog
8 - Track,Units,1980,85.0,Analog
8 - Track,Units,1981,50.0,Analog
8 - Track,Units,1982,13.7,Analog
8 - Track,Units,1983,0.0,Analog
8 - Track,Units,1984,0.0,Analog
8 - Track,Units,1985,0.0,Analog
8 - Track,Units,1986,0.0,Analog
8 - Track,Units,1987,0.0,Analog
8 - Track,Units,1988,0.0,Analog
8 - Track,Units,1989,0.0,Analog
8 - Track,Units,1990,0.0,Analog
8 - Track,Units,1991,0.0,Analog
8 - Track,Units,1992,0.0,Analog
8 - Track,Units,1993,0.0,Analog
8 - Track,Units,1994,0.0,Analog
8 - Track,Units,1995,0.0,Analog
8 - Track,Units,1996,0.0,Analog
8 - Track,Units,1997,0.0,Analog
8 - Track,Units,1998,0.0,Analog
8 - Track,Units,1999,0.0,Analog
8 - Track,Units,2000,0.0,Analog
8 - Track,Units,2001,0.0,Analog
8 - Track,Units,2002,0.0,Analog
8 - Track,Units,2003,0.0,Analog
8 - Track,Units,2004,0.0,Analog
8 - Track,Units,2005,0.0,Analog
8 - Track,Units,2006,0.0,Analog
8 - Track,Units,2007,0.0,Analog
8 - Track,Units,2008,0.0,Analog
8 - Track,Units,2009,0.0,Analog
8 - Track,Units,2010,0.0,Analog
8 - Track,Units,2011,0.0,Analog
Other Tapes,Units,1973,2.2,Analog
Other Tapes,Units,1974,1.9,Analog
Other Tapes,Units,1975,1.5,Analog
Other Tapes,Units,1976,0.7,Analog
Other Tapes,Units,1977,0.0,Analog
Other Tapes,Units,1978,0.0,Analog
Other Tapes,Units,1979,0.0,Analog
Other Tapes,Units,1980,0.0,Analog
Other Tapes,Units,1981,0.0,Analog
Other Tapes,Units,1982,0.0,Analog
Other Tapes,Units,1983,0.0,Analog
Other Tapes,Units,1984,0.0,Analog
Other Tapes,Units,1985,0.0,Analog
Other Tapes,Units,1986,0.0,Analog
Other Tapes,Units,1987,0.0,Analog
Other Tapes,Units,1988,0.0,Analog
Other Tapes,Units,1989,0.0,Analog
Other Tapes,Units,1990,0.0,Analog
Other Tapes,Units,1991,0.0,Analog
Other Tapes,Units,1992,0.0,Analog
Other Tapes,Units,1993,0.0,Analog
Other Tapes,Units,1994,0.0,Analog
Other Tapes,Units,1995,0.0,Analog
Other Tapes,Units,1996,0.0,Analog
Other Tapes,Units,1997,0.0,Analog
Other Tapes,Units,1998,0.0,Analog
Other Tapes,Units,1999,0.0,Analog
Other Tapes,Units,2000,0.0,Analog
Other Tapes,Units,2001,0.0,Analog
Other Tapes,Units,2002,0.0,Analog
Other Tapes,Units,2003,0.0,Analog
Other Tapes,Units,2004,0.0,Analog
Other Tapes,Units,2005,0.0,Analog
Other Tapes,Units,2006,0.0,Analog
Other Tapes,Units,2007,0.0,Analog
Other Tapes,Units,2008,0.0,Analog
Other Tapes,Units,2009,0.0,Analog
Other Tapes,Units,2010,0.0,Analog
Other Tapes,Units,2011,0.0,Analog
Music Video (Physical),Units,1989,6.1,Digital
Music Video (Physical),Units,1990,9.2,Digital
Music Video (Physical),Units,1991,6.1,Digital
Music Video (Physical),Units,1992,7.6,Digital
Music Video (Physical),Units,1993,11.0,Digital
Music Video (Physical),Units,1994,11.2,Digital
Music Video (Physical),Units,1995,12.6,Digital
Music Video (Physical),Units,1996,16.9,Digital
Music Video (Physical),Units,1997,18.6,Digital
Music Video (Physical),Units,1998,27.2,Digital
Music Video (Physical),Units,1999,19.8,Digital
Music Video (Physical),Units,2000,18.2,Digital
Music Video (Physical),Units,2001,17.7,Digital
Music Video (Physical),Units,2002,14.7,Digital
Music Video (Physical),Units,2003,19.9,Digital
Music Video (Physical),Units,2004,32.8,Digital
Music Video (Physical),Units,2005,33.8,Digital
Music Video (Physical),Units,2006,23.2,Digital
Music Video (Physical),Units,2007,27.5,Digital
Music Video (Physical),Units,2008,13.2,Digital
Music Video (Physical),Units,2009,11.6,Digital
Music Video (Physical),Units,2010,9.1,Digital
Music Video (Physical),Units,2011,7.7,Digital
Music Video (Physical),Units,2012,6.032725467000001,Digital
Music Video (Physical),Units,2013,4.814626524,Digital
Music Video (Physical),Units,2014,4.065323601,Digital
Music Video (Physical),Units,2015,3.1332280060000004,Digital
Music Video (Physical),Units,2016,2.495531725,Digital
Music Video (Physical),Units,2017,1.87712837,Digital
Music Video (Physical),Units,2018,1.395058021,Digital
Music Video (Physical),Units,2019,1.32294236,Digital
DVD Audio,Units,2001,0.263,Digital
DVD Audio,Units,2002,0.43,Digital
DVD Audio,Units,2003,0.4,Digital
DVD Audio,Units,2004,0.3,Digital
DVD Audio,Units,2005,0.5,Digital
DVD Audio,Units,2006,0.1,Digital
DVD Audio,Units,2007,0.2,Digital
DVD Audio,Units,2008,0.04,Digital
DVD Audio,Units,2009,0.1,Digital
DVD Audio,Units,2010,0.04,Digital
DVD Audio,Units,2011,0.01,Digital
DVD Audio,Units,2012,0.008533145,Digital
DVD Audio,Units,2013,-0.054735168,Digital
DVD Audio,Units,2014,0.066542722,Digital
DVD Audio,Units,2015,0.179506738,Digital
DVD Audio,Units,2016,0.085898932,Digital
DVD Audio,Units,2017,0.061332251,Digital
DVD Audio,Units,2018,0.092803246,Digital
DVD Audio,Units,2019,0.027982262,Digital
SACD,Units,2003,1.3,Digital
SACD,Units,2004,0.8,Digital
SACD,Units,2005,0.5,Digital
SACD,Units,2006,0.3,Digital
SACD,Units,2007,0.2,Digital
SACD,Units,2008,0.1,Digital
SACD,Units,2009,0.1,Digital
SACD,Units,2010,0.1,Digital
SACD,Units,2011,0.1,Digital
SACD,Units,2012,0.065446,Digital
SACD,Units,2013,0.044683,Digital
SACD,Units,2014,0.030486000000000006,Digital
SACD,Units,2015,0.041633,Digital
SACD,Units,2016,0.045272,Digital
SACD,Units,2017,0.032749,Digital
SACD,Units,2018,0.032804,Digital
SACD,Units,2019,0.017654,Digital
Download Single,Units,2004,139.4,Digital
Download Single,Units,2005,366.9,Digital
Download Single,Units,2006,586.4,Digital
Download Single,Units,2007,819.4,Digital
Download Single,Units,2008,1042.7,Digital
Download Single,Units,2009,1124.4,Digital
Download Single,Units,2010,1177.4,Digital
Download Single,Units,2011,1332.3,Digital
Download Single,Units,2012,1402.739373351,Digital
Download Single,Units,2013,1332.795365733,Digital
Download Single,Units,2014,1154.37932687,Digital
Download Single,Units,2015,986.2550359,Digital
Download Single,Units,2016,743.003413783,Digital
Download Single,Units,2017,553.516151775,Digital
Download Single,Units,2018,399.773852346,Digital
Download Single,Units,2019,335.339193535,Digital
Download Album,Units,2004,4.6,Digital
Download Album,Units,2005,13.6,Digital
Download Album,Units,2006,27.6,Digital
Download Album,Units,2007,49.8,Digital
Download Album,Units,2008,63.6,Digital
Download Album,Units,2009,74.5,Digital
Download Album,Units,2010,85.8,Digital
Download Album,Units,2011,103.9,Digital
Download Album,Units,2012,116.733631841,Digital
Download Album,Units,2013,117.97921304200001,Digital
Download Album,Units,2014,114.23047080100001,Digital
Download Album,Units,2015,106.78388411600001,Digital
Download Album,Units,2016,85.123349893,Digital
